Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Haven 2-Piece Bumper Chaise Sectional (106""–113"")",https://www.westelm.com/products/haven-2-piece-terminal-chaise-sectional-h3422/?pkey=csectionals,"2,633.30","4,698","images/Haven_2-Piece_Bumper_Chaise_Sectional_(106""–113"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Laurent 2-Piece Wedge Chaise Sectional (111.5"")",https://www.westelm.com/products/laurent-2-piece-wedge-chaise-sectional-h12004/?pkey=csectionals,"2,399","2,999","images/Laurent_2-Piece_Wedge_Chaise_Sectional_(111.5"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand, Yarn Dyed Linen Weave, Graphite"
"Marin 2-Piece Bumper Chaise Sectional (114"")",https://www.westelm.com/products/marin-terminal-chaise-sectional-h6956/?pkey=csectionals,"2,309.99","4,098","images/Marin_2-Piece_Bumper_Chaise_Sectional_(114"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand"
"Harris 2-Piece Bumper Chaise Sectional (100""–116"")",https://www.westelm.com/products/harris-2-piece-terminal-sectional-h4618/?pkey=csectionals,"2,198","3,598","images/Harris_2-Piece_Bumper_Chaise_Sectional_(100""–116"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Midnight"
"Harmony 2-Piece Chaise Sectional (112""–128"")",https://www.westelm.com/products/harmony-2-piece-chaise-sectional-h2478/?pkey=csectionals,"3,228.30","5,098","images/Harmony_2-Piece_Chaise_Sectional_(112""–128"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Yarn Dyed Linen Weave, Alabaster"
"Harmony Modular 3-Piece Ottoman Sectional (122"")",https://www.westelm.com/products/harmony-modular-3-piece-chaise-sectional-h6269/?pkey=csectionals,"3,397.45","5,497","images/Harmony_Modular_3-Piece_Ottoman_Sectional_(122"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Oliver 2-Piece Chaise Sectional (79"")",https://www.westelm.com/products/oliver-2-piece-chaise-sectional-h9758/?pkey=csectionals,799.20,999,"images/Oliver_2-Piece_Chaise_Sectional_(79"").jpg",
"Harris 2-Piece Sleeper Sectional w/ Bumper Chaise (112"")",https://www.westelm.com/products/harris-sleeper-sectional-w-terminal-chaise-h4588/?pkey=csectionals,"3,143.30","4,298","images/Harris_2-Piece_Sleeper_Sectional_w__Bumper_Chaise_(112"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harmony Modular 2-Piece Sleeper Sectional w/ Storage Chaise (123"")",https://www.westelm.com/products/harmony-modular-2-piece-sleeper-sectional-w-storage-h6268/?pkey=csectionals,"3,908.30","5,598","images/Harmony_Modular_2-Piece_Sleeper_Sectional_w__Storage_Chaise_(123"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Andes 2-Piece Bumper Chaise Sectional (90""–105"")",https://www.westelm.com/products/andes-terminal-chaise-sectional-h2298/?pkey=csectionals,"2,378.30","6,296","images/Andes_2-Piece_Bumper_Chaise_Sectional_(90""–105"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Petrol"
"Harper 2-Piece Chaise Sectional (106""–116"")",https://www.westelm.com/products/harper-2-piece-chaise-sectional-h6919/?pkey=csectionals,"2,239.99","4,298","images/Harper_2-Piece_Chaise_Sectional_(106""–116"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Haven Leather 2-Piece Bumper Chaise Sectional (108"")",https://www.westelm.com/products/haven-leather-2-piece-terminal-chaise-sectional-h3517/?pkey=csectionals,"4,238","5,498","images/Haven_Leather_2-Piece_Bumper_Chaise_Sectional_(108"").jpg","Saddle Leather, Nut, Saddle Leather, Oxblood, Saddle Leather, Slate, Saddle Leather, Banker"
"Dalton 2-Piece Chaise Sectional (111""–121"")",https://www.westelm.com/products/dalton-2-piece-chaise-sectional-h8270/?pkey=csectionals,"2,958.40","4,598","images/Dalton_2-Piece_Chaise_Sectional_(111""–121"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Pearl Gray, Yarn Dyed Linen Weave, Pewter"
