Title,Price,Link,Colors,Image Path
Geo 84'' Upholstered Sofa,$770,https://www.allmodern.com/furniture/pdp/geo-84-square-arm-sofa-a001114308.html,", , Beige Fabric, Bella Burnt Orange Performance Velvet, Bella Forest Performance Velvet, Bella Gold Performance Velvet, Bella Ink Performance Velvet",Imgs/Geo+84''+Upholstered+Sofa.jpg
Geo 84 inch Genuine Leather Sofa,"$1,100",https://www.allmodern.com/furniture/pdp/geo-84-inch-genuine-leather-sofa-a001172441.html,", , Caramel Genuine Leather, Vintage Black Genuine Leather",Imgs/Geo+84+inch+Genuine+Leather+Sofa.jpg
Benedict 91'' Upholstered Sofa,"$1,080",https://www.allmodern.com/furniture/pdp/benedict-91-upholstered-sofa-a001037807.html,", , Cream  Corduroy, Dust Blue Angel Chenille, Gray Performance Corduroy, Mushroom Textured Performance, Royal Blue Performance Corduroy",Imgs/Benedict+91''+Upholstered+Sofa.jpg
Rae 84'' Upholstered Sofa,"$1,400",https://www.allmodern.com/furniture/pdp/rae-85-upholstered-sofa-a001056981.html,", , Effie Indigo Performance Linen, Effie Linen Performance Linen, Falkirk Military Green, Falkirk Reddish Brown, Falkirk Royal Blue Velvet",Imgs/Rae+84''+Upholstered+Sofa.jpg
George 82'' Upholstered Sofa,"$1,020",https://www.allmodern.com/furniture/pdp/george-82-velvet-tuxedo-arm-sofa-a000868789.html,", , Blush Velvet, Emerald Green Velvet, Olive Velvet, Platinum Gray Velvet, Sapphire Velvet",Imgs/George+82''+Upholstered+Sofa.jpg
Lana 85'' Upholstered Sofa,$900,https://www.allmodern.com/furniture/pdp/lana-85-round-arm-sofa-with-reversible-cushions-a000642236.html,", , Camel Brown Boucle, Cream  Corduroy, Gray Performance Corduroy, Light Gray Polyester Blend, Mocca Angel Chenille",Imgs/Lana+85''+Upholstered+Sofa.jpg
Miller 56'' Upholstered Loveseat,$750,https://www.allmodern.com/furniture/pdp/miller-upholstered-loveseat-a000183771.html,", ,  Light Gray, Cream, Dark Gray, Stax Dust Blue Performance Velvet, Stax Pistachio Performance Velvet",Imgs/Miller+56''+Upholstered+Loveseat.jpg
"Kearney 61"" Upholstered Loveseat","$1,070",https://www.allmodern.com/furniture/pdp/kearney-61-upholstered-loveseat-a000792047.html,", , Danny Cream, Danny Dusty Blue, Danny Shadow Blue, Stax Dust Blue, Stax Light Gray","Imgs/Kearney+61""+Upholstered+Loveseat.jpg"
Moab 81'' Upholstered Sofa,"$1,230",https://www.allmodern.com/furniture/pdp/moab-81-upholstered-sofa-a000252337.html,", , Flannigan Cotton Tweed, Flannigan Midnight Tweed, Fredrickson Marble Basketweave",Imgs/Moab+81''+Upholstered+Sofa.jpg
Troian 90.16'' Upholstered Sofa,$940,https://www.allmodern.com/furniture/pdp/troian-89-upholstered-sofa-a000983283.html,", , Charcoal Lux Chenille, Latte Lux Chenille, Mustard Performance Velvet, Cream Boucle Performance, Cream Lux Chenille",Imgs/Troian+90.16''+Upholstered+Sofa.jpg
