Color Name,Color Code
Baby Dreams,2083-70
Misty Rose,1360
Countryside Pink,1361
Fashion Rose,1356
Old Claret,2083-30
Cascabel Chile,CSP-445
Bewitched,CSP-450
Primrose Petals,1367
Sweet Naivete,2083-60
Pink Pansy,2083-50
Begonia,2083-40
Berry Fizz,CSP-440
Cranberry Cocktail,2083-20
Raisin Torte,2083-10
I Love You Pink,2077-70
Valentine's Day,2077-60
Pretty Pink,2077-50
Spring Azalea,2077-40
Hot Lips,2077-30
Gypsy Pink,2077-20
Magenta,2077-10
Nursery Pink,2076-70
Dog's Ear,2076-60
Easter Pink,2076-50
Raspberry Mousse,2076-40
Crushed Berries,2076-30
Royal Flush,2076-20
Crushed Velvet,2076-10
Candy Stripe,2079-70
Bermuda Breeze,1345
Wild Heart,1354
Tropical Rose,1355
Razzle Dazzle,1348
Pink Corsage,1349
Chinaberry,1351
Newborn Pink,2078-60
Pink Cherub,2079-60
Pink Begonia,2078-50
Island Sunset,1346
Pink Ladies,1347
Aniline Red,1350
Roseate,2078-10
Pink Peony,2078-70
Pink Petals,2085-60
Rhododendron,2079-50
Springtime Bloom,2079-40
Peony,2079-30
Blushing Red,2079-20
Candy Cane Red,2079-10
Baby Dreams,2083-70
Misty Rose,1360
Countryside Pink,1361
Fashion Rose,1356
Old Claret,2083-30
Cascabel Chile,CSP-445
Bewitched,CSP-450
Primrose Petals,1367
Sweet Naivete,2083-60
Pink Pansy,2083-50
Begonia,2083-40
Berry Fizz,CSP-440
Cranberry Cocktail,2083-20
Raisin Torte,2083-10
I Love You Pink,2077-70
Valentine's Day,2077-60
Pretty Pink,2077-50
Spring Azalea,2077-40
Hot Lips,2077-30
Gypsy Pink,2077-20
Magenta,2077-10
Nursery Pink,2076-70
Dog's Ear,2076-60
Easter Pink,2076-50
Raspberry Mousse,2076-40
Crushed Berries,2076-30
Royal Flush,2076-20
Crushed Velvet,2076-10
Candy Stripe,2079-70
Bermuda Breeze,1345
Wild Heart,1354
Tropical Rose,1355
Razzle Dazzle,1348
Pink Corsage,1349
Chinaberry,1351
Newborn Pink,2078-60
Pink Cherub,2079-60
Pink Begonia,2078-50
Island Sunset,1346
Pink Ladies,1347
Aniline Red,1350
Roseate,2078-10
Pink Peony,2078-70
Pink Petals,2085-60
Rhododendron,2079-50
Springtime Bloom,2079-40
Peony,2079-30
