Title,Price,Link,Image Path,Colors
"Red Anthurium, Buy an Anthurium Red indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/red-anthurium/,https://bloomscape.com/wp-content/uploads/2023/04/BloomScape_SM_RedAnthurium_white_brightenslightly-324x389.jpg?ver=1022071,"Stone, Charcoal, Slate, Indigo"
"Bromeliad Summer, Buy potted Bromeliad Summer, 5 pot color options. 30-Day Guarantee on all plants, plus expert plant care support.",$49,https://bloomscape.com/product/bromeliad-summer/,images/bromeliadsummer.jpg,"Stone, Charcoal, Slate, Indigo, White"
"Sansevieria Zeylanica, Buy a Sansevieria indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/sansevieria-zeylanica/,https://bloomscape.com/wp-content/uploads/2022/10/bloomscape_sanseveria_zeylancia_sm_charcoal-324x389.jpg?ver=955388,"Stone, Charcoal, Slate, Indigo"
"Bromeliad Guzmania, Buy a Bromeliad Yellow indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/bromeliad-guzmania-yellow/,https://bloomscape.com/wp-content/uploads/2022/08/bloomscape_yellow-bromeliad_sm_detail.jpg?ver=927252,"Stone, Charcoal, Slate, Indigo"
"Whale Fin Sansevieria, Buy a Whale Fin Sansevieria indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/whale-fin-sansevieria/,https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_SansevieriaMasoniana_medium_Indigo-scaled-324x405.jpg?ver=640201,"Stone, Clay, Charcoal, Slate, Indigo"
"Cat Palm, Buy an XL Cat Palm indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$169,https://bloomscape.com/product/cat-palm/,https://bloomscape.com/wp-content/uploads/2022/06/bloomscape_cat-palm_xxl_plant-stand-324x389.jpg?ver=902655,"Stone, Clay, Charcoal, Slate, Indigo"
"Bamboo Palm, Buy a Bamboo Palm indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$229,https://bloomscape.com/product/bamboo-palm/,images/bamboopalm.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Little Fiddle Leaf Fig, Buy a Little Fiddle Leaf Fig indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/little-fiddle-leaf-fig/,https://bloomscape.com/wp-content/uploads/2022/01/bloomscape_wooden-plant-stool_acacia_fiddle-leaf-fig-324x389.jpg?ver=660138,"Stone, Clay, Charcoal, Slate, Indigo"
"Monstera Adansonii, Buy a Monstera Adansonii indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/monstera-adansonii/,https://bloomscape.com/wp-content/uploads/2019/11/bloomscape_monstera-adansonii_md_indigo-scaled-e1625250472388-324x389.jpg?ver=440340,"Stone, Clay, Charcoal, Slate, Indigo"
"Fiddle Leaf Fig, Buy a Fiddle Leaf Fig indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$229,https://bloomscape.com/product/fiddle-leaf-fig/,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_fiddle-leaf-fig_charcoal-e1652800894846-324x390.jpg?ver=279577,"Stone, Clay, Charcoal, Slate, Indigo"
