Title,Price,Link,Image Path,Colors
The Container Store Samson Faux Leather Bin,$89.99 – $99.99,https://www.example.com/s/home-decor/home-decor-new-arrivals/the-container-store-samson-faux-leather-bin/12d?productId=11023148,images/thecontainerstoresamsonfauxleatherbin.jpg,"css-1jtiraa, css-1xx16ea"
Zafferano Poldina Pro Wireless Lamp,$169.00,https://www.example.com/s/home-decor/home-decor-new-arrivals/zafferano-poldina-pro-wireless-lamp/12d?productId=11024636,images/zafferanopoldinaprowirelesslamp.jpg,"css-abqf3x, css-1ljdx5i, css-1xx16ea"
The Container Store Rattan Bins with Lid,$109.99 – $179.99,https://www.example.com/s/home-decor/home-decor-new-arrivals/the-container-store-rattan-bins-with-lid/12d?productId=11023133,images/thecontainerstorerattanbinswithlid.jpg,
The Container Store Pacific Bin,$29.99 – $39.99,https://www.example.com/s/home-decor/home-decor-new-arrivals/the-container-store-pacific-bin/12d?productId=11023713,images/thecontainerstorepacificbin.jpg,
Yamazaki Tower Narrow Entryway Console Table,$79.00,https://www.example.com/s/home-decor/home-decor-new-arrivals/yamazaki-tower-narrow-entryway-console-table/12d?productId=11024476,images/yamazakitowernarrowentrywayconsoletable.jpg,"css-1xx16ea, css-abqf3x"
Skeem Citronella Triple-Wick Candle,$49.00,https://www.example.com/s/home-decor/home-decor-new-arrivals/skeem-citronella-triple_wick-candle/12d?productId=11024641,images/skeemcitronellatriplewickcandle.jpg,
Steele Canvas Canvas Handled Storage Bin,$59.99 – $69.99,https://www.example.com/s/home-decor/home-decor-new-arrivals/steele-canvas-canvas-handled-storage-bin/12d?productId=11024863,images/steelecanvascanvashandledstoragebin.jpg,"css-d1y9p3, css-1xx16ea"
The Container Store Folly Jute Bin,$44.99 – $46.99,https://www.example.com/s/home-decor/home-decor-new-arrivals/the-container-store-folly-jute-bin/12d?productId=11023149,images/thecontainerstorefollyjutebin.jpg,"css-ackehb, css-1xx16ea"
Yamazaki C Side Table,$118.00,https://www.example.com/s/home-decor/home-decor-new-arrivals/yamazaki-c-side-table/12d?productId=11024470,images/yamazakicsidetable.jpg,"css-1xx16ea, css-abqf3x"
The Container Store Cotton/Linen Throw,$95.00 – $115.00,https://www.example.com/s/home-decor/home-decor-new-arrivals/the-container-store-cotton~linen-throw/12d?productId=11023715,images/thecontainerstorecottonlinenthrow.jpg,"css-18jdosy, css-17r0ob"
