id,name,brand,price_min,price_max,color_options_count,color_options,image_path
2579525,Avio Sectional with Table,Knoll®,"$31,255.00","$43,126.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579525.jpg
2579423,Avio Sectional,Knoll®,"$17,970.00","$25,450.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579423.jpg
2579424-2,"Avio Sofa, Three Seat",Knoll®,"$14,899.00","$21,254.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579424-2.jpg
2195266-1,"Kelston Sofa, Fabric",Case,"$7,745.00","$11,795.00",N/A,"['Bark', 'Basil', 'Blue', 'Blush']",dwr\2195266-1.jpg
2195267-2,"Kelston Sectional, Leather",Case,"$17,695.00","$18,895.00",N/A,"['Balsa', 'Black', 'Bruno', 'Canyon']",dwr\2195267-2.jpg
2197051,Kelston Corner Sectional,Case,"$18,295.00","$24,795.00",N/A,"['Balsa', 'Bark', 'Basil', 'Black']",dwr\2197051.jpg
2530548,Pacha Sofa,Gubi,"$7,999.00","$15,999.00",N/A,"['Cream', 'Dark Blue', 'Grey', 'Petrol']",dwr\2530548.jpg
1984,D'Urso Sofa,Knoll®,"$7,808.00","$14,423.00",N/A,"['Air', 'Black', 'Caviar', 'Chartreuse']",dwr\1984.jpg
2579424-1,"Avio Sofa, Two Seat",Knoll®,"$10,730.00","$15,356.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579424-1.jpg
2579424-3,"Avio Sofa, Four Seat",Knoll®,"$19,069.00","$27,143.00",N/A,"['Aviator', 'Black', 'Chartreuse', 'Daffodil']",dwr\2579424-3.jpg
2522856,Florence Knoll Relaxed Sofa,Knoll®,"$9,273.00","$18,176.00",N/A,"['Alpine', 'Aurora', 'Aviator', 'Black']",dwr\2522856.jpg
8842,Womb Settee,Knoll®,"$8,184.00","$13,644.00",N/A,"['Aegean', 'Alpine', 'Aurora', 'Black / White']",dwr\8842.jpg
2572166,Florence Knoll Model 33,Knoll®,"$3,591.00","$6,269.00",N/A,"['Aviator', 'Black / White', 'Chartreuse', 'Graphite']",dwr\2572166.jpg
2544057,Bastiano Sofa,Knoll®,"$8,085.00","$12,447.00",N/A,"['Alpine', 'Amber', 'Aviator', 'Black']",dwr\2544057.jpg
4034,Florence Knoll Sofa,Knoll®,"$11,236.00","$22,025.00",N/A,"['Alpine', 'Aurora', 'Aviator', 'Black']",dwr\4034.jpg
2538745,Muse Sofa,Sarah Ellison,"$3,495.00","$4,995.00",N/A,"['Caramel', 'Dune', 'Agave', 'Piccolo']",dwr\2538745.jpg
2552612,Float Sofa,Sarah Ellison,N/A,N/A,N/A,"['Fawn', 'Oyster', 'Piccolo', 'La Creme']",dwr\2552612.jpg
2530332-3,Quilton Chaise Sectional,HAY,"$5,245.00","$7,095.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2530332-3.jpg
2514613-2,Mags Soft Low 2.5-Seat Sofa,HAY,"$3,595.00","$5,995.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514613-2.jpg
2530324-2,Quilton 2.5-Seat Sofa,HAY,"$4,145.00","$7,095.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2530324-2.jpg
2552613,Float Sectional,Sarah Ellison,N/A,N/A,N/A,"['Fawn', 'Oyster', 'Piccolo', 'La Creme']",dwr\2552613.jpg
2515835-4,Mags Soft Low One-Arm Sectional,HAY,"$4,345.00","$6,895.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2515835-4.jpg
2530324-1,Quilton 2-Seat Sofa,HAY,"$3,745.00","$6,095.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2530324-1.jpg
2515835-3,Mags Soft Low One-Arm Wide Sectional,HAY,"$4,695.00","$8,995.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2515835-3.jpg
2514898-4,Mags One-Arm Sectional,HAY,"$4,345.00","$6,895.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-4.jpg
2530332-1,Quilton L-Shaped Sectional,HAY,"$6,995.00","$10,295.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2530332-1.jpg
2530332-4,Quilton One-Arm Sectional,HAY,"$4,645.00","$6,795.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2530332-4.jpg
2514897-2,Mags 2.5-Seat Sofa,HAY,"$3,745.00","$5,995.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514897-2.jpg
2530332-2,Quilton Wide Chaise Sectional,HAY,"$6,395.00","$9,295.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2530332-2.jpg
2514900,Mags Single Center Unit 1063,HAY,"$1,095.00","$2,195.00",N/A,"['Blue', 'Blush', 'Cayenne', 'Cream']",dwr\2514900.jpg
2515835-5,Mags Soft Low Narrow Chaise Sectional,HAY,"$4,395.00","$8,545.00",N/A,"['Blue', 'Cayenne', 'Cream', 'Denim']",dwr\2515835-5.jpg
2530332-5,Quilton One-Arm Wide Sectional,HAY,"$6,195.00","$8,995.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2530332-5.jpg
2556361,Quilton One Arm Sofa,HAY,"$4,845.00","$6,995.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2556361.jpg
2557591,Mags Soft Low One Arm Sofa,HAY,"$3,945.00","$8,445.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2557591.jpg
2557590,Mags One Arm Sofa,HAY,"$3,945.00","$8,445.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2557590.jpg
2514898-1,Mags Corner Sectional,HAY,"$6,695.00","$13,495.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-1.jpg
2515835-2,Mags Soft Low L-Shaped Sectional,HAY,"$7,445.00","$12,045.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2515835-2.jpg
2515835-6,Mags Soft Low Wide Chaise Sectional,HAY,"$4,895.00","$8,745.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2515835-6.jpg
2514613-1,Mags Soft Low 3-Seat Sofa,HAY,"$4,845.00","$8,045.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514613-1.jpg
6313,Muse Corner Sectional,Sarah Ellison,"$6,495.00","$7,495.00",N/A,"['Caramel', 'Dune', 'Agave', 'Piccolo']",dwr\6313.jpg
2536894,Mags Lounge Single Seater,HAY,"$1,295.00","$1,945.00",N/A,"['Cream', 'Denim', 'Grey', 'Lilac']",dwr\2536894.jpg
2536584-1,Hackney Lounge Corner Sectional,HAY,"$9,895.00","$14,445.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536584-1.jpg
2536884,Hackney Lounge Single Seater,HAY,"$1,345.00","$2,295.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536884.jpg
2536582-2,Hackney Lounge 2-Seat Sofa,HAY,"$4,545.00","$6,595.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536582-2.jpg
2556363,Quilton Corner Sectional,HAY,"$7,245.00","$10,645.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2556363.jpg
2515835-1,Mags Soft Low Corner Sectional,HAY,"$5,895.00","$13,495.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2515835-1.jpg
2514897-1,Mags 3-Seat Sofa,HAY,"$4,845.00","$8,045.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514897-1.jpg
2536582-3,Hackney Lounge Compact 2-Seat Sofa,HAY,"$4,145.00","$6,195.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536582-3.jpg
2543444,Mags Soft Low Modular Sectional,HAY,"$4,745.00","$7,945.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2543444.jpg
2519394,Rapport Sofa,Geiger,"$5,595.00","$9,825.00",N/A,"['Anthracite', 'Basalt', 'Cream', 'Graphite']",dwr\2519394.jpg
2536583-1,Hackney Lounge Sectional,HAY,"$7,645.00","$10,945.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536583-1.jpg
2536583-2,Hackney Lounge Compact Sectional,HAY,"$6,595.00","$10,095.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536583-2.jpg
2577051,Eave Modular Sectional,Audo Copenhagen,"$6,375.00","$6,775.00",N/A,"['Beige', 'Bordeaux', 'Dark Grey', 'Gold']",dwr\2577051.jpg
2556060,Quilton Modular Sofa,HAY,"$6,295.00","$9,395.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2556060.jpg
2514898-3,Mags One-Arm Wide Sectional,HAY,"$5,345.00","$8,995.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-3.jpg
2543443,Mags Modular Sectional,HAY,"$4,745.00","$7,945.00",N/A,"['Charcoal', 'Cream', 'Dark Blue', 'Denim']",dwr\2543443.jpg
226,Eames Sofa,Herman Miller,"$12,755.00","$13,835.00",N/A,"['Balsa', 'Java', 'Lotus', 'Obsidian']",dwr\226.jpg
2536584-2,Hackney Lounge Compact Corner Sectional,HAY,"$8,895.00","$13,395.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536584-2.jpg
2514898-5,Mags Sectional with Narrow Chaise,HAY,"$5,045.00","$8,545.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-5.jpg
2514898-6,Mags Sectional with Wide Chaise,HAY,"$5,495.00","$8,895.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-6.jpg
2573832,Ouverture Sofa,Poltrona Frau,"$13,980.00","$21,990.00",N/A,"['Argento', 'Bianco', 'Coffee Bean', 'Cumin']",dwr\2573832.jpg
2577050,Eave Modular Sofa,Audo Copenhagen,"$5,855.00","$6,325.00",N/A,"['Beige', 'Bordeaux', 'Dark Grey', 'Gold']",dwr\2577050.jpg
2536582-1,Hackney Lounge 3-Seat Sofa,HAY,"$6,095.00","$8,895.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536582-1.jpg
2536895,Mags Lounge Sectional,HAY,"$5,895.00","$8,995.00",N/A,"['Blue', 'Charcoal', 'Cream', 'Dark Blue']",dwr\2536895.jpg
2519396,Rolled Arm Sofa,Geiger,"$5,295.00","$11,550.00",N/A,"['Anthracite', 'Basalt', 'Cream', 'Graphite']",dwr\2519396.jpg
2514898-2,Mags L-Shaped Sectional,HAY,"$7,445.00","$12,045.00",N/A,"['Blue', 'Cream', 'Denim', 'Green']",dwr\2514898-2.jpg
2536582-4,Hackney Lounge Compact 3-Seat Sofa,HAY,"$5,495.00","$8,245.00",N/A,"['Blue', 'Cream', 'Green', 'Grey']",dwr\2536582-4.jpg
2576429,Croissant Sofa,Gubi,N/A,N/A,N/A,['Cuoio'],dwr\2576429.jpg
