Title,Description,Price Range,Link,Image Path,Colors
Castia™ by Studio McGee,Single-handle bathroom sink faucets with lever handle,$356.25 - $516.56,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/castia-by-studio-mcgee-single-handle-bathroom-sink-faucet-1-0-gpm-35907-4k?skuId=35907-4K-CP,kohler\K-35907-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Purist™,Single-handle bathroom sink faucets with lever handle,$408.86 - $654.19,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-single-handle-bathroom-sink-faucet-with-straight-lever-handle-14402-4a?skuId=14402-4A-CP,kohler\K-14402-4A-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Purist™,Single-handle bathroom sink faucets with lever handle,"$635.92 - $1,017.49",/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-tall-single-handle-bathroom-sink-faucet-with-straight-lever-handle-14404-4a?skuId=14404-4A-CP,kohler\K-14404-4A-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Tone™,Single-handle bathroom sink faucets with lever handle,$313.50 - $454.57,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/tone-tall-single-handle-bathroom-sink-faucet-1-0-gpm-26437-4k?skuId=26437-4K-CP,kohler\K-26437-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Matte Black with Moderne Brass,Polished Chrome with Matte Black,Vibrant Brushed Nickel,Matte Black"
Tone™,Single-handle bathroom sink faucets with lever handle,$218.25 - $316.46,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/tone-single-handle-bathroom-sink-faucet-1-0-gpm-27415-4k?skuId=27415-4K-CP,kohler\K-27415-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Matte Black with Moderne Brass,Polished Chrome with Matte Black,Vibrant Brushed Nickel,Matte Black"
Devonshire™,Single-handle bathroom sink faucets with lever handle,$225.00 - $326.25,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/devonshire-single-handle-bathroom-sink-faucet-193-4?skuId=193-4-CP,kohler\K-193-4-CP.jpg,"Polished Chrome,Vibrant Polished Brass,Vibrant Brushed Nickel,Oil-Rubbed Bronze"
Occasion™,Single-handle bathroom sink faucets with lever handle,$472.50 - $756.00,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/occasion-single-handle-bathroom-sink-faucet-1-0-gpm-27000-4k?skuId=27000-4K-CP,kohler\K-27000-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Matte Black with Moderne Brass,Vibrant Brushed Nickel"
Title not found for product ID: No ID,Description not found,Price not found,/en/products/kohler-collections/studio-mcgee-collection/shop-castia-bath-faucet-and-accessory-collection,Image not found,
Occasion™,Single-handle bathroom sink faucets with lever handle,$525.00 - $840.00,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/occasion-tall-single-handle-bathroom-sink-faucet-1-0-gpm-27003-4k?skuId=27003-4K-CP,kohler\K-27003-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Matte Black with Moderne Brass,Vibrant Brushed Nickel"
