Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Big Sur Square Arm Sofa (76""–105"")",https://www.potterybarn.com/products/big-sur-square-arm-upholstered-sofa-collection/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"1,614","3,599","images/Big_Sur_Square_Arm_Sofa_(76""–105"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Chaise Sectional (114""–156"")",https://www.potterybarn.com/products/big-sur-square-arm-upholstered-sofa-with-chaise-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"3,229","5,948","images/Big_Sur_Square_Arm_Chaise_Sectional_(114""–156"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Chaise Sectional (105""–147"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-upholstered-sofa-chaise-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"3,739","6,548","images/Big_Sur_Square_Arm_Deep_Seat_Chaise_Sectional_(105""–147"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Double Chaise Sectional (146""–198"")",https://www.potterybarn.com/products/big-sur-square-arm-upholstered-u-chaise-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"4,584","8,697","images/Big_Sur_Square_Arm_Double_Chaise_Sectional_(146""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Sofa (77""–105"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-upholstered-sofa-collection/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"1,869","3,899","images/Big_Sur_Square_Arm_Deep_Seat_Sofa_(77""–105"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm 3-Piece L-Shaped Sectional (115"")",https://www.potterybarn.com/products/big-sur-square-arm-upholstered-3-piece-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"4,714","7,897","images/Big_Sur_Square_Arm_3-Piece_L-Shaped_Sectional_(115"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Pebble, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Square Arm Deep Seat 3-Piece L-Shaped Sectional (120"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-upholstered-3-pc-l-shaped-corner-sect/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"5,479","8,797","images/Big_Sur_Square_Arm_Deep_Seat_3-Piece_L-Shaped_Sectional_(120"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Slipcovered Sofa (76""–105"")",https://www.potterybarn.com/products/big-sur-square-arm-slipcovered-sofa-collection/?pkey=cbig-sur-sofas-sectionals,"1,699","3,699","images/Big_Sur_Square_Arm_Slipcovered_Sofa_(76""–105"").jpg","Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Square Arm Leather Sofa (76""–105"")",https://www.potterybarn.com/products/big-sur-square-leather-sofa-collection/?pkey=cbig-sur-sofas-sectionals,"3,314","4,399","images/Big_Sur_Square_Arm_Leather_Sofa_(76""–105"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Return Bumper Sectional (114""–146"")",https://www.potterybarn.com/products/big-sur-square-upholstered-return-bumper-sectional/?pkey=cbig-sur-sofas-sectionals&cm_sp=ossa-17548_bestseller_variant,"3,779","6,398","images/Big_Sur_Square_Arm_Return_Bumper_Sectional_(114""–146"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
